"年份","学校标识码","学校名称","主管部门","所在地","所在省份","办学层次","学校性质","学校类型","备注"
"2022","4143010530.0","湘潭大学","湖南省","湘潭市","湘潭市","本科","本科","普通高等学校",""
"2022","4143010531.0","吉首大学","湖南省","湘西土家族苗族自治州","湘西土家族苗族自治州","本科","本科","普通高等学校",""
"2022","4143010532.0","湖南大学","教育部","长沙市","长沙市","本科","本科","普通高等学校",""
"2022","4143010533.0","中南大学","教育部","长沙市","长沙市","本科","本科","普通高等学校",""
"2022","4143010534.0","湖南科技大学","湖南省","湘潭市","湘潭市","本科","本科","普通高等学校",""
"2022","4143010536.0","长沙理工大学","湖南省","长沙市","长沙市","本科","本科","普通高等学校",""
"2022","4143010537.0","湖南农业大学","湖南省","长沙市","长沙市","本科","本科","普通高等学校",""
"2022","4143010538.0","中南林业科技大学","湖南省","长沙市","长沙市","本科","本科","普通高等学校",""
"2022","4143010541.0","湖南中医药大学","湖南省","长沙市","长沙市","本科","本科","普通高等学校",""
"2022","4143010542.0","湖南师范大学","湖南省","长沙市","长沙市","本科","本科","普通高等学校",""
"2022","4143010543.0","湖南理工学院","湖南省","岳阳市","岳阳市","本科","本科","普通高等学校",""
"2022","4143010545.0","湘南学院","湖南省","郴州市","郴州市","本科","本科","普通高等学校",""
"2022","4143010546.0","衡阳师范学院","湖南省","衡阳市","衡阳市","本科","本科","普通高等学校",""
"2022","4143010547.0","邵阳学院","湖南省","邵阳市","邵阳市","本科","本科","普通高等学校",""
"2022","4143010548.0","怀化学院","湖南省","怀化市","怀化市","本科","本科","普通高等学校",""
"2022","4143010549.0","湖南文理学院","湖南省","常德市","常德市","本科","本科","普通高等学校",""
"2022","4143010551.0","湖南科技学院","湖南省","永州市","永州市","本科","本科","普通高等学校",""
"2022","4143010553.0","湖南人文科技学院","湖南省","娄底市","娄底市","本科","本科","普通高等学校",""
"2022","4143010554.0","湖南工商大学","湖南省","长沙市","长沙市","本科","本科","普通高等学校",""
"2022","4143010555.0","南华大学","湖南省","衡阳市","衡阳市","本科","本科","普通高等学校",""
"2022","4143010823.0","长沙医学院","湖南省教育厅","长沙市","长沙市","本科","本科","普通高等学校","民办"
"2022","4143011077.0","长沙学院","湖南省","长沙市","长沙市","本科","本科","普通高等学校",""
"2022","4143011342.0","湖南工程学院","湖南省","湘潭市","湘潭市","本科","本科","普通高等学校",""
"2022","4143011527.0","湖南城市学院","湖南省","益阳市","益阳市","本科","本科","普通高等学校",""
"2022","4143011528.0","湖南工学院","湖南省","衡阳市","衡阳市","本科","本科","普通高等学校",""
"2022","4143011532.0","湖南财政经济学院","湖南省","长沙市","长沙市","本科","本科","普通高等学校",""
"2022","4143011534.0","湖南警察学院","湖南省","长沙市","长沙市","本科","本科","普通高等学校",""
"2022","4143011535.0","湖南工业大学","湖南省","株洲市","株洲市","本科","本科","普通高等学校",""
"2022","4143011538.0","湖南女子学院","湖南省","长沙市","长沙市","本科","本科","普通高等学校",""
"2022","4143012034.0","湖南第一师范学院","湖南省","长沙市","长沙市","本科","本科","普通高等学校",""
"2022","4143012214.0","湖南医药学院","湖南省","怀化市","怀化市","本科","本科","普通高等学校",""
"2022","4143012303.0","湖南涉外经济学院","湖南省教育厅","长沙市","长沙市","本科","本科","普通高等学校","民办"
"2022","4143012599.0","湘潭大学兴湘学院","湖南省教育厅","湘潭市","湘潭市","本科","本科","普通高等学校","民办"
