"主管部门","所在省份","学校性质","学校数量","包含年份","包含类型"
"北京市教委","北京市","高职（专科）","72","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"北京市教委","【小计】","","122","",""
"司法部","保定市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"司法部","【小计】","","8","",""
"吉林省","吉林省","本科","41","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","吉林省","高职（专科）","28","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","四平市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","四平市","高职（专科）","17","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","延边朝鲜族 自治州","本科","1","2017","普通高等学校"
"吉林省","延边朝鲜族 自治州","高职（专科）","1","2017","普通高等学校"
"吉林省","延边朝鲜族自治州","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","延边朝鲜族自治州","高职（专科）","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","未知","成人高等教育","112","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"吉林省","松原市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","白城市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","白城市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","白山市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","辽源市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","通化市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","通化市","高职（专科）","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","长春市","本科","115","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","长春市","高职（专科）","61","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省","【小计】","","176","",""
"吉林省教育厅","四平市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省教育厅","延边朝鲜族 自治州","高职（专科）","1","2017","普通高等学校"
"吉林省教育厅","延边朝鲜族自治州","高职（专科）","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省教育厅","梅河口市","高职（专科）","2","2020, 2021","普通高等学校"
"吉林省教育厅","通化市","高职（专科）","4","2022, 2023, 2024, 2025","普通高等学校"
"吉林省教育厅","长春市","本科","88","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省教育厅","长春市","高职（专科）","48","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"吉林省教育厅","【小计】","","136","",""
"四川省","乐山市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","乐山市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","内江市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","内江市","高职（专科）","23","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","凉山彝族 自治州","本科","1","2017","普通高等学校"
"四川省","凉山彝族自治州","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","凉山彝族自治州","高职（专科）","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","南充市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","南充市","高职（专科）","14","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","宜宾市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","宜宾市","高职（专科）","10","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","广元市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","广安市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","德阳市","本科","2","2024, 2025","普通高等学校"
"四川省","德阳市","高职（专科）","30","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","成都市","本科","105","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","成都市","高职（专科）","142","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","攀枝花市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","攀枝花市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","未知","成人高等教育","99","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"四川省","泸州市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","泸州市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","甘孜藏族 自治州","本科","1","2017","普通高等学校"
"四川省","甘孜藏族自治州","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","甘孜藏族自治州","高职（专科）","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","眉山市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","绵阳市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","绵阳市","高职（专科）","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","自贡市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","自贡市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","西昌市","高职（专科）","2","2024, 2025","普通高等学校"
"四川省","达州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","达州市","高职（专科）","15","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","遂宁市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","阿坝藏族羌族自治州","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","阿坝藏族羌族自治州","高职（专科）","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","雅安市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","雅安市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省","【小计】","","16","",""
"四川省教育厅","乐山市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","凉山州","高职（专科）","2","2017, 2019","普通高等学校"
"四川省教育厅","凉山彝族自治州","高职（专科）","6","2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","南充市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","南充市","高职（专科）","13","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","四川省","本科","1","2021","普通高等学校"
"四川省教育厅","巴中市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","广元市","高职（专科）","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","德阳市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","德阳市","高职（专科）","20","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","成都市","本科","84","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","成都市","高职（专科）","91","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","攀枝花市","高职（专科）","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","泸州市","高职（专科）","21","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","眉山市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","眉山市","高职（专科）","28","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","绵阳市","本科","24","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","绵阳市","高职（专科）","22","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","自贡市","高职（专科）","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","资阳市","高职（专科）","22","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"四川省教育厅","遂宁市","高职（专科）","9","2023, 2024, 2025","普通高等学校"
"四川省教育厅","【小计】","","9","",""
"国务院侨办","广州市","本科","1","2017","普通高等学校"
"国务院侨办","泉州市","本科","1","2017","普通高等学校"
"国务院侨办","【小计】","","1","",""
"国家体育总局","北京市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"国家体育总局","【小计】","","8","",""
"国家卫生健康委员会","北京市","本科","7","2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"国家卫生健康委员会","【小计】","","7","",""
"国家卫生和计划生育委员会","北京市","本科","1","2017","普通高等学校"
"国家卫生和计划生育委员会","【小计】","","1","",""
"国家安全生产监督管理总局","廊坊市","本科","1","2017","普通高等学校"
"国家安全生产监督管理总局","【小计】","","1","",""
"国家林业局","南京市","本科","1","2017","普通高等学校"
"国家林业局","【小计】","","1","",""
"国家民委","兰州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"国家民委","北京市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"国家民委","大连市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"国家民委","成都市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"国家民委","武汉市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"国家民委","银川市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"国家民委","【小计】","","8","",""
"外交部","北京市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"外交部","【小计】","","8","",""
"天津市","天津市","本科","129","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"天津市","天津市","高职（专科）","200","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"天津市","未知","成人高等教育","105","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"天津市","【小计】","","105","",""
"天津市教委","天津市","本科","88","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"天津市教委","天津市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"天津市教委","【小计】","","96","",""
"宁夏回族自治区","吴忠市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"宁夏回族自治区","固原市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"宁夏回族自治区","未知","成人高等教育","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"宁夏回族自治区","石嘴山市","高职（专科）","9","2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"宁夏回族自治区","银川市","本科","18","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"宁夏回族自治区","银川市","高职（专科）","80","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"宁夏回族自治区","【小计】","","98","",""
"宁夏回族自治区教育厅","石嘴山市","本科","5","2021, 2022, 2023, 2024, 2025","普通高等学校"
"宁夏回族自治区教育厅","银川市","本科","15","2021, 2022, 2023, 2024, 2025","普通高等学校"
"宁夏回族自治区教育厅","【小计】","","15","",""
"宁夏自治区教育厅","石嘴山市","本科","3","2017, 2019, 2020","普通高等学校"
"宁夏自治区教育厅","银川市","本科","9","2017, 2019, 2020","普通高等学校"
"宁夏自治区教育厅","【小计】","","9","",""
"安徽省","亳州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","亳州市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","六安市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","六安市","高职（专科）","25","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","合肥市","本科","77","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","合肥市","高职（专科）","206","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","安庆市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","安庆市","高职（专科）","32","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","宣城市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","宿州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","宿州市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","未知","成人高等教育","48","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","成人高等学校"
"安徽省","池州市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","池州市","高职（专科）","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","淮北市","本科","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","淮北市","高职（专科）","8","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
"安徽省","淮南市","本科","16","2017, 2019, 2020, 2021, 2022, 2023, 2024, 2025","普通高等学校"
