状态	地区	学校标识码	学校名称	主管部门	所在地	办学层次	备注	adminType	categoryName	英文名称	双一流建设	官网链接	更新说明
1	黑龙江省	4123010231	哈尔滨师范大学	黑龙江省	哈尔滨市	本科		地方公办	师范	Harbin Normal University		http://www.hrbnu.edu.cn/	
1	黑龙江省	4123010232	齐齐哈尔大学	黑龙江省	齐齐哈尔市	本科		地方公办	综合	Qiqihar University		http://www.qqhru.edu.cn/	
1	黑龙江省	4123010233	牡丹江师范学院	黑龙江省	牡丹江市	本科		地方公办	师范	Mudanjiang Normal University		http://xywz.mdjnu.cn/	
1	黑龙江省	4123010234	哈尔滨学院	黑龙江省	哈尔滨市	本科		地方公办	综合	Harbin University		http://www.hrbu.edu.cn/	
1	黑龙江省	4123010235	大庆师范学院	黑龙江省	大庆市	本科		地方公办	综合	Daqing Normal University		https://www.dqsy.net	
1	黑龙江省	4123010236	绥化学院	黑龙江省	绥化市	本科		地方公办	综合	Suihua University		http://www.shxy.edu.cn/	
1	黑龙江省	4123010238	齐齐哈尔高等师范专科学校	黑龙江省	齐齐哈尔市	专科		地方公办	师范	Qiqihar Teachers College		http://www.qqhrtc.com/	
1	黑龙江省	4123010240	哈尔滨商业大学	黑龙江省	哈尔滨市	本科		地方公办	财经	Harbin University of Commerce		http://www.hrbcu.edu.cn/	
1	黑龙江省	4123010242	哈尔滨体育学院	黑龙江省	哈尔滨市	本科		地方公办	体育	Harbin Sport University		https://www.hrbipe.edu.cn/	
1	黑龙江省	4123010245	哈尔滨金融学院	黑龙江省	哈尔滨市	本科		地方公办	财经	Harbin Finance University		http://www.hrbfu.edu.cn/	
1	黑龙江省	4123010872	伊春职业学院	黑龙江省	伊春市	专科		地方公办	综合	Yichun Vocational College		http://www.yczyxy.org.cn	
1	黑龙江省	4123011046	牡丹江大学	黑龙江省	牡丹江市	专科		地方公办	综合	Mudanjiang University		http://www.mdjdx.cn/html/mdj/index.html	
1	黑龙江省	4123011230	齐齐哈尔医学院	黑龙江省	齐齐哈尔市	本科		地方公办	医药	Qiqihar Medical University		https://www.qmu.edu.cn	
1	黑龙江省	4123011445	黑龙江工业学院	黑龙江省	鸡西市	本科		地方公办	理工	Heilongjiang University of Technology		http://zs.jxdx.com/	
1	黑龙江省	4123011446	黑龙江东方学院	黑龙江省教育厅	哈尔滨市	本科	民办	民办高校	综合	East University of Heilongjiang		http://www.dfxyzj.com/	
1	黑龙江省	4123011449	黑龙江职业学院	黑龙江省	哈尔滨市	专科		地方公办	综合	Heilongjiang Polytechnic		http://www.hljp.edu.cn/	
1	黑龙江省	4123011635	哈尔滨信息工程学院	黑龙江省教育厅	哈尔滨市	本科	民办	民办高校	理工	Harbin Institute of Information Technology		http://www.hxci.com.cn	
1	黑龙江省	4123011802	黑龙江工程学院	黑龙江省	哈尔滨市	本科		地方公办	理工	Heilongjiang Institute of Technology		http://www.hljit.edu.cn/	
1	黑龙江省	4123012053	黑龙江建筑职业技术学院	黑龙江省	哈尔滨市	专科		地方公办	理工	Heilongjiang College Of Construction		http://www.hict.org.cn	
1	黑龙江省	4123012490	黑龙江艺术职业学院	黑龙江省	哈尔滨市	专科		地方公办	文艺	Heilongjiang Vocational College Of Art		http://www.hljyzy.com	
1	黑龙江省	4123012718	大庆职业学院	黑龙江省	大庆市	专科		地方公办	理工	Daqing Vocational College		http://www.dqzyxy.net	
1	黑龙江省	4123012724	黑龙江林业职业技术学院	黑龙江省	牡丹江市	专科		地方公办	农林	Heilongjiang Forestry Vocational-Technical College		http://www.hljlzy.com/	
1	黑龙江省	4123012725	黑龙江农业职业技术学院	黑龙江省	佳木斯市	专科		地方公办	农林	Heilongjiang Vocational College Of Agricultural And Technology		http://www.hljnzy.net	
1	黑龙江省	4123012726	黑龙江农业工程职业学院	黑龙江省	哈尔滨市	专科		地方公办	农林	Heilongjiang Agricultural Engineering Vocational College		http://www.hngzy.com	
1	黑龙江省	4123012727	黑龙江农垦职业学院	黑龙江省	哈尔滨市	专科		地方公办	综合	Heilongjiang Agricultural Reclamation Vocational College，Arvc		http://www.nkzy.com/	
1	黑龙江省	4123012728	黑龙江司法警官职业学院	黑龙江省	哈尔滨市	专科		地方公办	政法	The Professional Judicial Police College Of Heilongjiang		http://www.hljsfjy.org.cn	
